order_number,table_number,timestamp,items_summary,universal_comment,order_total,printed_status,items_json
UE-1776350744606,Uber,2026-04-16 09:45:51,1x California Roll | 1x Shrimp Tempura Roll,Simulated,,Yes (routed),"[{""name"": ""California Roll"", ""nameZh"": ""\u52a0\u5dde\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""Shrimp Tempura Roll"", ""nameZh"": ""\u5929\u5987\u7f57\u867e\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
15,N/A,2026-04-16 09:46:59,1x Asparagus Roll | 1x Sweet Potato Roll | 1x Spider Roll | 1x Dragon Roll (8pcs),,,Yes (routed),"[{""name"": ""Asparagus Roll"", ""nameZh"": ""\u82a6\u7b0b\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 8.95, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""Sweet Potato Roll"", ""nameZh"": ""\u7ea2\u85af\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 8.95, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""Spider Roll"", ""nameZh"": ""\u8718\u86db\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 14.95, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""Dragon Roll (8pcs)"", ""nameZh"": ""\u9f99\u5377 (8\u4e2a)"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 15.95, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
B3074,Uber Eats,2026-04-16 10:45:09,1x !01 x ASPARAGUS ROLL | 1x SWEET POTATO ROLL | 1x SPIDER ROLL | 1x DRAGON ROLL (8 pcs),,,Yes (routed),"[{""name"": ""!01 x ASPARAGUS ROLL"", ""nameZh"": ""\u82a6\u7b0b\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""SWEET POTATO ROLL"", ""nameZh"": ""\u7ea2\u85af\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""SPIDER ROLL"", ""nameZh"": ""\u8718\u86db\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""DRAGON ROLL (8 pcs)"", ""nameZh"": ""\u9f99\u5377 (8\u4e2a)"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
B3074,Uber Eats,2026-04-16 10:54:51,1x !01 x ASPARAGUS ROLL | 1x SWEET POTATO ROLL | 1x SPIDER ROLL | 1x DRAGON ROLL (8 pcs),,,Yes (routed),"[{""name"": ""!01 x ASPARAGUS ROLL"", ""nameZh"": ""\u82a6\u7b0b\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""SWEET POTATO ROLL"", ""nameZh"": ""\u7ea2\u85af\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""SPIDER ROLL"", ""nameZh"": ""\u8718\u86db\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""DRAGON ROLL (8 pcs)"", ""nameZh"": ""\u9f99\u5377 (8\u4e2a)"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
B4005,Uber Eats,2026-04-16 11:17:10,1x ASPARAGUS ROLL | 1x SWEET POTATO ROLL | 1x SPIDER ROLL | 1x DRAGON ROLL (8 pcs) | 1x HOT SEXY MAMA (8 pcs) | 1x EDAMAME,,,Yes (routed),"[{""name"": ""ASPARAGUS ROLL"", ""nameZh"": ""\u82a6\u7b0b\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""SWEET POTATO ROLL"", ""nameZh"": ""\u7ea2\u85af\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""SPIDER ROLL"", ""nameZh"": ""\u8718\u86db\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""DRAGON ROLL (8 pcs)"", ""nameZh"": ""\u9f99\u5377 (8\u4e2a)"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""HOT SEXY MAMA (8 pcs)"", ""nameZh"": ""\u706b\u8fa3\u8fa3\u5988\uff088\u4e2a\uff09"", ""category"": ""Signature Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""EDAMAME"", ""nameZh"": ""\u6bdb\u8c46"", ""category"": ""Appetizers"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
B4005,Uber Eats,2026-04-16 11:21:16,1x ASPARAGUS ROLL | 1x SWEET POTATO ROLL | 1x SPIDER ROLL | 1x DRAGON ROLL (8 pcs) | 1x HOT SEXY MAMA (8 pcs) | 1x EDAMAME,,,Yes (routed),"[{""name"": ""ASPARAGUS ROLL"", ""nameZh"": ""\u82a6\u7b0b\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""SWEET POTATO ROLL"", ""nameZh"": ""\u7ea2\u85af\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""SPIDER ROLL"", ""nameZh"": ""\u8718\u86db\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""DRAGON ROLL (8 pcs)"", ""nameZh"": ""\u9f99\u5377 (8\u4e2a)"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""HOT SEXY MAMA (8 pcs)"", ""nameZh"": ""\u706b\u8fa3\u8fa3\u5988\uff088\u4e2a\uff09"", ""category"": ""Signature Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""EDAMAME"", ""nameZh"": ""\u6bdb\u8c46"", ""category"": ""Appetizers"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
B4005,Uber Eats,2026-04-16 11:26:29,1x ASPARAGUS ROLL | 1x SWEET POTATO ROLL | 1x SPIDER ROLL | 1x DRAGON ROLL (8 pcs) | 1x HOT SEXY MAMA (8 pcs) | 1x EDAMAME,,,Yes (routed),"[{""name"": ""ASPARAGUS ROLL"", ""nameZh"": ""\u82a6\u7b0b\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""SWEET POTATO ROLL"", ""nameZh"": ""\u7ea2\u85af\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""SPIDER ROLL"", ""nameZh"": ""\u8718\u86db\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""DRAGON ROLL (8 pcs)"", ""nameZh"": ""\u9f99\u5377 (8\u4e2a)"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""HOT SEXY MAMA (8 pcs)"", ""nameZh"": ""\u706b\u8fa3\u8fa3\u5988\uff088\u4e2a\uff09"", ""category"": ""Signature Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""EDAMAME"", ""nameZh"": ""\u6bdb\u8c46"", ""category"": ""Appetizers"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
B4005,Uber Eats,2026-04-16 11:31:40,1x ASPARAGUS ROLL | 1x SWEET POTATO ROLL | 1x SPIDER ROLL | 1x DRAGON ROLL (8 pcs) | 1x HOT SEXY MAMA (8 pcs) | 1x EDAMAME,,,Yes (routed),"[{""name"": ""ASPARAGUS ROLL"", ""nameZh"": ""\u82a6\u7b0b\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""SWEET POTATO ROLL"", ""nameZh"": ""\u7ea2\u85af\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""SPIDER ROLL"", ""nameZh"": ""\u8718\u86db\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""DRAGON ROLL (8 pcs)"", ""nameZh"": ""\u9f99\u5377 (8\u4e2a)"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""HOT SEXY MAMA (8 pcs)"", ""nameZh"": ""\u706b\u8fa3\u8fa3\u5988\uff088\u4e2a\uff09"", ""category"": ""Signature Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""EDAMAME"", ""nameZh"": ""\u6bdb\u8c46"", ""category"": ""Appetizers"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
B4005,Uber Eats,2026-04-16 11:40:00,1x ASPARAGUS ROLL | 1x SWEET POTATO ROLL | 1x SPIDER ROLL | 1x DRAGON ROLL (8 pcs) | 1x HOT SEXY MAMA (8 pcs) | 1x EDAMAME,,,Yes (routed),"[{""name"": ""ASPARAGUS ROLL"", ""nameZh"": ""\u82a6\u7b0b\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""SWEET POTATO ROLL"", ""nameZh"": ""\u7ea2\u85af\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""SPIDER ROLL"", ""nameZh"": ""\u8718\u86db\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""DRAGON ROLL (8 pcs)"", ""nameZh"": ""\u9f99\u5377 (8\u4e2a)"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""HOT SEXY MAMA (8 pcs)"", ""nameZh"": ""\u706b\u8fa3\u8fa3\u5988\uff088\u4e2a\uff09"", ""category"": ""Signature Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""EDAMAME"", ""nameZh"": ""\u6bdb\u8c46"", ""category"": ""Appetizers"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
B5003,Uber Eats,2026-04-16 12:31:13,"1x Additional Instructions | 1x Please add extra ginger and wasabi. No chopsticks. | 1x CALIFORNIA ROLL (Opts: No Cucumber, Add Spicy Mayo) | 1x MISO SOUP | 1x EDAMAME",Please add extra ginger and wasabi. No chopsticks. 1 x CALIFORNIA ROLL No Cucumber Add Spicy Mayo 1 x MISO SOUP 1 x EDAMAME,,Yes (routed),"[{""name"": ""Additional Instructions"", ""nameZh"": """", ""category"": """", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""Please add extra ginger and wasabi. No chopsticks."", ""nameZh"": """", ""category"": """", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""CALIFORNIA ROLL"", ""nameZh"": ""\u52a0\u5dde\u5377"", ""category"": ""Regular Roll"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [{""name"": ""No Cucumber""}, {""name"": ""Add Spicy Mayo""}], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""MISO SOUP"", ""nameZh"": ""\u5473\u564c\u6c64"", ""category"": ""Soup & Salad"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""EDAMAME"", ""nameZh"": ""\u6bdb\u8c46"", ""category"": ""Appetizers"", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
